Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2021-01-14,Se7en,1995,https://boxd.it/1Au1mT,4,,"A very skilled serial killer with no history tries bring the 7 deadly sins to general attention by his art. A cynical retiring smart cultured detective, and a brash colleague tackle him. Manipulating the brash guy into his art in the end.",,2021-01-14
2021-01-14,Hackers,1995,https://boxd.it/1Au1n3,,,baad hacker frames good misunderstood hackers who unframe themselves,,2021-01-14
2021-01-14,Tsubaki Sanjûrô,2007,https://boxd.it/1Au1nx,,,clever sword-skilled ronin helps young foolish unskilled noblemen in exposing a corrupt superintendant.,,2021-01-14
2021-01-14,The Hidden Fortress,1958,https://boxd.it/1Au1nH,,,"with sacrifice of other samurAi and attendants along the way, samurAi escorting sole survivor princess of defeated clan and clan gold exploits greed of bungling pesants to reach allies contrast the silly greed and lack of trust of the pesants with the sacrifice and effectiveness of samurAi.",,2021-01-14
2021-01-14,Amélie,2001,https://boxd.it/1Au1nR,,,a french secret do-gooder shyly finds love interesting.,,2021-01-14
2021-01-14,Face/Off,1997,https://boxd.it/1Au1o1,,,clever terrorist et clever cop,,2021-01-14
2021-01-14,Ocean's Twelve,2004,https://boxd.it/1Au1ob,,,thief gang competes with outwitting master thief under grandmaster's guidence,,2021-01-14
2021-01-14,Rajkumar,1996,https://boxd.it/1Au1ol,5,,based on romantically obsessed Nepali prince dipendra who massacred family. 4/4.,,2021-01-14
2021-01-14,The Silence of the Lambs,1991,https://boxd.it/1Au1ov,5,,"cannibal hannibal lecter escapes, a female detective is on his trail fails to catch him. 4/4.",,2021-01-14
2021-01-14,The Talented Mr. Ripley,1999,https://boxd.it/1Au1oF,3,,A web of lies weaved by the spider comes close to trapping it. The spider only escapes by murder after murder. AdhArmika-vIra - a very selfish individual - very disturbing. Constant fear of being caught. dramatic tension.,,2021-01-14
2021-01-14,Ripley's Game,2002,https://boxd.it/1Au1oP,4,,"the unperturbable criminal with flair. This film set in Europe, where one of the characters, a calm professional killer, out of some minor grouse, sets up his neighbor to do a hit job after fooling him into thinking that he is terminally ill. The killing happens on a train. When retribution comes to the neighbor, the calm killer defends the house and kills the invaders. The neighbor dies in the process, saving him! In a memorable final scene, the killer's wife spits on his face after she understands what happened, he just wipes it off with a window blind and goes away to attend his wife's concert.",,2021-01-14
2021-01-14,Doctor Who,1996,https://boxd.it/1Au1oZ,,,"Plot The hero is a highly creative genius TimeLord endowed with knowledge, resources and dharma. The episodes are fast paced, coherent adventures in various points in space-time, where the Doctor is placed in crisis situations. Effect on viewer Effects of watching adventure flicks are naturally observed. There is also the intellectual stimulation of observing the clever Doctor solving puzzles like Sherlock Holmes. Inspiration one can draw from this The Doctor's ability to enjoy himself in nearly all situations [the result of a strong dharma-lagnatA] , his insatiable curiosity and creativity. Pre-2005 versions of Doctor Who was less dynamic, special effects were primitive leading to a worse show. Few episodes are good, many are silly.",,2021-01-14
2021-01-14,The Amazing Spider-Man,2012,https://boxd.it/1Au1p9,4,,"Teenage Chris parker gets bitten by a spider, makes add-on machines, becomes spiderman, sees uncle die. Emotionally moving - bullying, reconciliation, teenage love, enjoyment of new-found power, teenage-confusion (who am I).",,2021-01-14
2021-01-14,The League of Extraordinary Gentlemen,2003,https://boxd.it/1Au1pj,,,nemo and victorian heroes fight villan,,2021-01-14
2021-01-14,True Lies,1994,https://boxd.it/1Au1pt,,,spy arnie gives his innocent wife some adventure,,2021-01-14
2021-01-14,No Way Out,1987,https://boxd.it/1Au1pD,,,fbi man with captive jap boss and airhostess rescues son .,,2021-01-14
2021-01-14,Blade,1998,https://boxd.it/1Au1pX,3.5,,half vampire vampire slayer. Day walker. Good fights. Good plot.,,2021-01-14
2021-01-14,The Last Stand,2013,https://boxd.it/1Au1q7,2.5,,Well planned escape of criminal to mexico foiled by small town policeman with much experience. Formula movie.,,2021-01-14
2021-01-14,Underworld,2003,https://boxd.it/1Au1qh,,,"2 hr long poor story, fighting.",,2021-01-14
2021-01-14,Under Siege,1992,https://boxd.it/1Au1qr,,,cook on ship,,2021-01-14
2021-01-14,Fire Down Below,1997,https://boxd.it/1Au1qB,,,epa agent in rural america,,2021-01-14
2021-01-14,On Deadly Ground,1994,https://boxd.it/1Au1qV,,,epa activist in alaska,,2021-01-14
2021-01-14,Under Siege 2: Dark Territory,1995,https://boxd.it/1Au1r5,,,in a highjacked train,,2021-01-14
2021-01-14,Exit Wounds,2001,https://boxd.it/1Au1rf,,,cop in california with black cop,,2021-01-14
2021-01-14,Showdown in Little Tokyo,1991,https://boxd.it/1Au1rp,,,yakuza and brandon lee,,2021-01-14
2021-01-14,End of Days,1999,https://boxd.it/1Au1rz,,,save girl from being satan's wife,,2021-01-14
2021-01-14,Collateral Damage,2002,https://boxd.it/1Au1rJ,,,father gets revenge on columbian terrorist,,2021-01-14
2021-01-14,First Blood,1982,https://boxd.it/1Au1rT,,,vietnam afghanistan america,,2021-01-14
2021-01-14,Rocky,1976,https://boxd.it/1Au1s3,,,boxer,,2021-01-14
2021-01-14,Hard Target,1993,https://boxd.it/1Au1sd,,,human hunters get hunted by prey.,,2021-01-14
2021-01-14,The Mummy,1999,https://boxd.it/1Au1sn,3.5,,"ancient egypt themed action adventure with acrobatic, linguistic and gunfighting skills highlighted",,2021-01-14
2021-01-14,Operation Scorpio,1992,https://boxd.it/1Au1sx,3.5,,similar to mummy 1 and 2,,2021-01-14
2021-01-14,The Rundown,2003,https://boxd.it/1Au1sH,,,"the rock a comical action adventure highlighting fistfighting, shooting skills of a bodyguard/ capturer sent to fetch a person from an equatorial american region exploited by cruel miners",,2021-01-14
2021-01-14,Clear and Present Danger,1994,https://boxd.it/1Au1sR,,,tom clancy's analyst jack ryan in columbia to solve drug mystery.,,2021-01-14
2021-01-14,Dragons: Gift of the Night Fury,2011,https://boxd.it/1Au1tb,,,new york chinatown's triad subsidiary gets cooked by well decorated vietnam veteran polish cop,,2021-01-14
2021-01-14,Vertical Limit,2000,https://boxd.it/1Au1tl,,,OM mani padme.hum' chanting generally compassionate super-mountaineer seeking vengence from millionaire on k2,,2021-01-14
2021-01-14,John Wick,2014,https://boxd.it/1Au1tv,,,"Nice and desperate gun-fu fights among competent and cool hitmen. The idea of a ""no-fight-hotel"" is attractive.",,2021-01-14
2021-01-14,Baby,2017,https://boxd.it/1Au1tF,3,,"Special ops team (composed of muslims and hindus) captures and kills muslim pAkistAni terror agents. Strangely, in the final operation, they're allowed to escape from Arabia by a saudi investigator Sickular message. Fair action and suspence.",,2021-01-14
2021-01-14,The Hunger Games,2012,https://boxd.it/1Au1tP,3,,"Male and female Teenagers from 12 districts participate in one-survives game. A good series of events and action which keep viewers from getting bored. An OK array of caring, cruel, intelligent personalities.",,2021-01-14
2021-01-14,Thor,2011,https://boxd.it/1Au1tZ,3.5,,"Adorable glimpse into Norse mythology. Odin, Thor and his hammer, Loki the trickster, Ice giants, bridges to earth, Thor learning humbleness and sacrifice after his father Odin's curse. Good introduction to Norse mythos.",,2021-01-14
2021-01-14,Thor: The Dark World,2013,https://boxd.it/1Au1uD,3,,"The primodial superweapon, ether, is stolen and is recovered. Predictable.",,2021-01-14
2021-01-14,Thor: Ragnarok,2017,https://boxd.it/1Au1uN,2,,"Hela and Fenrir find defeat at the hands of Thor, reluctant Loki and Hulk in Ragnarok after Odin's death. If you're familiar with norse mythology, this action crap will disappoint.",,2021-01-14
2021-01-14,Immortal,2006,https://boxd.it/1Au1uX,2.5,,"Release of the Titans by a vengeful mortal opposed by another mortal supported slightly by Olympian Gods. Finally, a battle with the Titans. Not faithful to the mythos. Overemphasis on disbelief.",,2021-01-14
2021-01-14,The Fast and the Furious,2001,https://boxd.it/1Au1v7,,,street racers and undercover cop,,2021-01-14
2021-01-14,2 Fast 2 Furious,2003,https://boxd.it/1Au1vh,,,road racers,,2021-01-14
2021-01-14,Gone in Sixty Seconds,2000,https://boxd.it/1Au1vr,,,car thief steals many cars to get brother freed.,,2021-01-14
2021-01-14,Mad Max,1979,https://boxd.it/1Au1vB,3.5,,Road Cop's vengence against a murderous rapist motorcycle gang in post-apocalyptic world,,2021-01-14
2021-01-14,Mad Max 2,1981,https://boxd.it/1Au1vL,3.5,,"colonists resisting maurauder gang helped by Max 3/4., slightly cliche but good.",,2021-01-14
2021-01-14,Tremors,1990,https://boxd.it/1Au1vV,3.5,,giant worms in american desert vanquished bad.,,2021-01-14
2021-01-14,Predators,2010,https://boxd.it/1Au1w5,3.5,,"human soldier/ predator antiheros kidnapped to a game reserve to be predated cliche, bad",,2021-01-14
2021-01-14,Pitch Black,2000,https://boxd.it/1Au1wf,3.5,,"total eclipse on desert planet brings out animals, but riddick is in his element 4/4.",,2021-01-14
2021-01-14,The Chronicles of Riddick,2004,https://boxd.it/1Au1wp,5,,jack has grown into deadly woman.. riddick comes to rule an intolerant brutal cult which hunts him,,2021-01-14
2021-01-14,Riddick,2013,https://boxd.it/1Au1wz,2.5,,Bad recasting of the Pitch Black trope. A couple of good scenes. Otherwise cliche.,,2021-01-14
2021-01-14,The Quest for Fire Adventure,1982,https://boxd.it/1Au1wJ,2.5,,"A tribe of early apes has preserved and used fire for long, without knowing how to generate it. But looses it in an attack. 3 adventurers go to retrieve it. Face threats like saber tooth tigers, cannibals. Steals fire from cannibals and rescues a woman of a more advanced tribe. who ultimately is grateful and attracted to one of them, and ultimately teaches them how to produce fire by friction. And also humor and the missionary position. Much excitement, wanton copulation. Early men depicted as cunning, but monkey-like in their lack of impulse control. The civilizational advantage is not shown.",,2021-01-14
2021-01-14,Interstellar,2014,https://boxd.it/1Au1wT,4,,"crop blight on Earth has made farming increasingly difficult and threatens humanity's survival. Gravity anamolies in earth of the past created from inside an (alien?) blackhole by an earth astronaut who has sacrificed himself lead to solution to final discovery of anti-gravity by a girl bright who reads the message. many suspenses. great and credible plot - includes time dilation near black hole, slingshots. stunning scenes.",,2021-01-14
2021-01-14,Looper,2012,https://boxd.it/1Au1x3,4,,"In 2074, when the mob wants to get rid of someone, the target is sent into the past, where a hired gun awaits - someone like Joe - who one day learns the mob wants to 'close the loop' by sending back Joe's future self for assassination. The future self escapes. Young self ends up protecting the ""rainmaker"" - a kid with supernatural abilities - from old Joe - by killing himself.",,2021-01-14
2021-01-14,Skyfall,2012,https://boxd.it/1Au1xd,2.5,,"Aging james bond returns from death to rescue female M from a wikileaks like hacker former spy seeking revenge. A homage to the early bond movies, old boxing moves and primitive gizmos.",,2021-01-14
2021-01-14,The World Is Not Enough,1999,https://boxd.it/1Au1xx,3.5,,"Azeri Oil baroness is not the victim, but is the orchestrator of a plot to use stolen plutonium to blow up Istanbul for pipeline monopoly. 007 sent to protect her has sets the situation right.",,2021-01-14
2021-01-14,Dr. No,1962,https://boxd.it/1Au1xH,,,Crazy criminal genius,,2021-01-14
2021-01-14,xXx,2002,https://boxd.it/1Au1xR,,,adventure rebel becomes spy in east europe,,2021-01-14
2021-01-14,Ronin,1998,https://boxd.it/1Au1y1,,,spy story set in Europe,,2021-01-14
2021-01-14,Transporter 2,2005,https://boxd.it/1Au1yb,,,frenchman transporting chinese girl wanting to stop herding chinese,,2021-01-14
2021-01-14,The Empire Strikes Back,1980,https://boxd.it/1Au1yl,3.5,,"Impatient and abitious but talented Anniken becomes Vader, having fallen in love with Leia, being trained by Obi Wan and manipulated by Palpatine. Big nice battle scenes.",,2021-01-14
2021-01-14,Star Wars: The Force Awakens,2015,https://boxd.it/1Au1yv,3,,"Hans Solo and Leia estranged, their son a sith lord. Empire against the republic. Luke run away and being sought by everyone. A rehash of episode 4, essentially. Entirely predictable. A child's game. Not much juice too. Some shRngAra - lovers tension. Attempted delivery of thrill of superb flying, which fails to thrill anymore (where's the suspense?). PS: Did not watch 3D.",,2021-01-14
2021-01-14,Star Wars: The Last Jedi,2017,https://boxd.it/1Au1yF,3.5,,"Young talented wanna-be jedi girl wants to get trained, but is refused by Luke (recalling his nephew turning to the dark side). In an encounter, she manages to sense conflict within the nephew (who partially seems to love her) and partially exploit it to get him to kill the emperor. But he then wants to finish destroying the resistance and invites her to join him. Final battle -they part ways. Resistence forces desperately try to escape, and after thrills - get cornered. Recalciterant Luke finally saves the day and lets the resistence escape while dying. Nice thriller.",,2021-01-14
