Date,Name,Year,Letterboxd URI,Rating
2021-01-14,Fight Club,1999,https://boxd.it/2a9q,5
2021-01-14,Black Panther,2018,https://boxd.it/8MHs,4
2021-01-14,Bicycle Thieves,1948,https://boxd.it/23hW,5
2021-01-14,The Man from Earth,2007,https://boxd.it/1Ql2,3.5
2021-01-14,The PHD movie,2011,https://boxd.it/2BBc,5
2021-01-14,Violent Cop,1989,https://boxd.it/1Rym,4
2021-01-14,Mr. Smith Goes to Washington,1939,https://boxd.it/25Ms,5
2021-01-14,American Beauty,1999,https://boxd.it/71Y,5
2021-01-14,Requiem for a Dream,2000,https://boxd.it/29VI,5
2021-01-14,Sankarabharanam,1979,https://boxd.it/1lZq,5
2021-01-14,Saptapadi,1981,https://boxd.it/e8G2,5
2021-01-14,Swarnakamalam,1988,https://boxd.it/2U00,4
2021-01-14,Ananda Bhairavi,1983,https://boxd.it/oHmQ,5
2021-01-14,Paithrukam,1992,https://boxd.it/5RAg,5
2021-01-14,Rebel Without a Cause,1955,https://boxd.it/2aQu,5
2021-01-14,The Kite Runner,2007,https://boxd.it/20IK,4
2021-01-14,Hamsageethe,1975,https://boxd.it/93hQ,4.5
2021-01-14,"Tlalocan, Under The City Of Gods",,https://boxd.it/lysa,3.5
2021-01-14,12 Angry Men,1957,https://boxd.it/2auI,5
2021-01-14,Django Unchained,2012,https://boxd.it/2cCk,4
2021-01-14,Being There,1979,https://boxd.it/1WxS,5
2021-01-14,The Book Thief,2013,https://boxd.it/67wO,3
2021-01-14,The Big Lebowski,1998,https://boxd.it/2b6C,5
2021-01-14,The Seventh Seal,1957,https://boxd.it/2ahO,4
2021-01-14,V for Vendetta,2005,https://boxd.it/29Ik,4.5
2021-01-14,Brazil,1985,https://boxd.it/2be2,4
2021-01-14,A Clockwork Orange,1971,https://boxd.it/2aVE,5
2021-01-14,Total Recall,2012,https://boxd.it/Ro,5
2021-01-14,The Manchurian Candidate,2004,https://boxd.it/1O2M,3.5
2021-01-14,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/2aeA,5
2021-01-14,The Bourne Supremacy,2004,https://boxd.it/26EE,5
2021-01-14,The Bourne Ultimatum,2007,https://boxd.it/26Eu,3.5
2021-01-14,Khosla Ka Ghosla!,2006,https://boxd.it/1Mie,5
2021-01-14,Othello,1951,https://boxd.it/K5A,5
2021-01-14,Hamlet,1996,https://boxd.it/1VZc,4
2021-01-14,The Last of the Mohicans,1992,https://boxd.it/1YSo,5
2021-01-14,Xuan Zang,2016,https://boxd.it/ebIq,3.5
2021-01-14,Tanhaji: The Unsung Warrior,2020,https://boxd.it/lwf4,4
2021-01-14,Hirkani,2019,https://boxd.it/ogky,4
2021-01-14,Panipat,2019,https://boxd.it/ldjw,3.5
2021-01-14,Beladingala baale,1995,https://boxd.it/ewu0,5
2021-01-14,Godhi Banna Sadharana Mykattu,2016,https://boxd.it/e8aA,3.5
2021-01-14,Ondu Motteya Kathe,2017,https://boxd.it/h2iE,4
2021-01-14,Delivery Man,2013,https://boxd.it/4E5M,3.5
2021-01-14,Mortuary,2005,https://boxd.it/1OvE,3.5
2021-01-14,Casablanca,1942,https://boxd.it/2aG0,5
2021-01-14,The Sound of Music,1965,https://boxd.it/1MLK,5
2021-01-14,Life as a House,2001,https://boxd.it/1TO2,4
2021-01-14,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,5
2021-01-14,The Great Passage,2016,https://boxd.it/slI4,5
2021-01-14,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,https://boxd.it/2agQ,5
2021-01-14,The Dictator,2012,https://boxd.it/2DEW,5
2021-01-14,The Blues Brothers,1980,https://boxd.it/2adi,2.5
2021-01-14,The Three Stooges,2012,https://boxd.it/2DFA,5
2021-01-14,Sons of the Desert,1933,https://boxd.it/VdA,5
2021-01-14,Carry On Doctor,1967,https://boxd.it/23oI,4
2021-01-14,The Gods Must Be Crazy II,1989,https://boxd.it/1SJ6,3.5
2021-01-14,Back to the Future Part II,1989,https://boxd.it/2aYI,5
2021-01-14,Back to the Future Part III,1990,https://boxd.it/2aTS,5
2021-01-14,Bill & Ted's Bogus Journey,1991,https://boxd.it/28oy,4
2021-01-14,Return of the Jedi,1983,https://boxd.it/27Vm,4
2021-01-14,Kill Bill: Vol. 2,2004,https://boxd.it/2au4,5
2021-01-14,Shrek 2,2004,https://boxd.it/29z8,5
2021-01-14,Bean,1997,https://boxd.it/28WA,3
